Liked;hilangkan_kapital;Review_clean_V2
1;wow loved this place;wow loved place
0;crust is not good;crust good
0;not tasty and the texture was just nasty;tasty texture nasty
1;stopped by during the late may bank holiday off rick steve recommendation and loved it;stopped late may bank holiday rick steve recommendation loved
1;the selection on the menu was great and so were the prices;selection menu great prices
0;now i am getting angry and i want my damn pho;getting angry want damn pho
0;honeslty it didn t taste that fresh;honeslty taste fresh
0;the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer;potatoes like rubber could tell made ahead time kept warmer
1;the fries were great too;fries great
1;a great touch;great touch
1;service was very prompt;service prompt
0;would not go back;would go back
0;the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced;cashier care ever say still ended wayyy overpriced
1;i tried the cape cod ravoli chicken with cranberry mmmm;tried cape cod ravoli chicken cranberry mmmm
0;i was disgusted because i was pretty sure that was human hair;disgusted pretty sure human hair
0;i was shocked because no signs indicate cash only;shocked signs indicate cash
1;highly recommended;highly recommended
0;waitress was a little slow in service;waitress little slow service
0;this place is not worth your time let alone vegas;place worth time let alone vegas
0;did not like at all;like
0;the burrittos blah;burrittos blah
1;the food amazing;food amazing
1;service is also cute;service also cute
1;i could care less the interior is just beautiful;could care less interior beautiful
1;so they performed;performed
1;that s right the red velvet cake ohhh this stuff is so good;right red velvet cake ohhh stuff good
0;they never brought a salad we asked for;never brought salad asked
1;this hole in the wall has great mexican street tacos and friendly staff;hole wall great mexican street tacos friendly staff
0;took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed;took hour get food tables restaurant food luke warm sever running around like totally overwhelmed
0;the worst was the salmon sashimi;worst salmon sashimi
1;also there are combos like a burger fries and beer for which is a decent deal;also combos like burger fries beer decent deal
0;this was like the final blow;like final blow
1;i found this place by accident and i could not be happier;found place accident could happier
0;seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere;seems like good quick place grab bite familiar pub food favor look elsewhere
1;overall i like this place a lot;overall like place lot
1;the only redeeming quality of the restaurant was that it was very inexpensive;redeeming quality restaurant inexpensive
1;ample portions and good prices;ample portions good prices
0;poor service the waiter made me feel like i was stupid every time he came to the table;poor service waiter made feel like stupid every time came table
1;my first visit to hiro was a delight;first visit hiro delight
0;service sucks;service sucks
1;the shrimp tender and moist;shrimp tender moist
0;there is not a deal good enough that would drag me into that establishment again;deal good enough would drag establishment
0;hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn t want to eat it for fear of getting sick;hard judge whether sides good grossed melted styrofoam want eat fear getting sick
1;on a positive note our server was very attentive and provided great service;positive note server attentive provided great service
0;frozen pucks of disgust with some of the worst people behind the register;frozen pucks disgust worst people behind register
1;the only thing i did like was the prime rib and dessert section;thing like prime rib dessert section
0;it s too bad the food is so damn generic;bad food damn generic
1;the burger is good beef cooked just right;burger good beef cooked right
1;if you want a sandwich just go to any firehouse;want sandwich go firehouse
1;my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing;side greek salad greek dressing tasty pita hummus refreshing
1;we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside;ordered duck rare pink tender inside nice char outside
1;he came running after us when he realized my husband had left his sunglasses on the table;came running us realized husband left sunglasses table
1;their chow mein is so good;chow mein good
0;they have horrible attitudes towards customers and talk down to each one when customers don t enjoy their food;horrible attitudes towards customers talk one customers enjoy food
1;the portion was huge;portion huge
1;loved it friendly servers great food wonderful and imaginative menu;loved friendly servers great food wonderful imaginative menu
0;the heart attack grill in downtown vegas is an absolutely flat lined excuse for a restaurant;heart attack grill downtown vegas absolutely flat lined excuse restaurant
0;not much seafood and like strings of pasta at the bottom;much seafood like strings pasta bottom
1;the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked;salad right amount sauce power scallop perfectly cooked
