index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
0;Wow... Loved this place.;1;Wow Loved this place;wow loved this place;['wow', 'loved', 'place'];wow loved place
1;Crust is not good.;0;Crust is not good;crust is not good;['crust', 'good'];crust good
2;Not tasty and the texture was just nasty.;0;Not tasty and the texture was just nasty;not tasty and the texture was just nasty;['tasty', 'texture', 'nasty'];tasty texture nasty
3;Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.;1;Stopped by during the late May bank holiday off Rick Steve recommendation and loved it;stopped by during the late may bank holiday off rick steve recommendation and loved it;['stopped', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommendation', 'loved'];stopped late may bank holiday rick steve recommendation loved
4;The selection on the menu was great and so were the prices.;1;The selection on the menu was great and so were the prices;the selection on the menu was great and so were the prices;['selection', 'menu', 'great', 'prices'];selection menu great prices
5;Now I am getting angry and I want my damn pho.;0;Now I am getting angry and I want my damn pho;now i am getting angry and i want my damn pho;['getting', 'angry', 'want', 'damn', 'pho'];getting angry want damn pho
6;Honeslty it didn't taste THAT fresh.);0;Honeslty it didn t taste THAT fresh;honeslty it didn t taste that fresh;['honeslty', 'taste', 'fresh'];honeslty taste fresh
7;The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.;0;The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer;the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer;['potatoes', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer'];potatoes like rubber could tell made ahead time kept warmer
8;The fries were great too.;1;The fries were great too;the fries were great too;['fries', 'great'];fries great
9;A great touch.;1;A great touch;a great touch;['great', 'touch'];great touch
10;Service was very prompt.;1;Service was very prompt;service was very prompt;['service', 'prompt'];service prompt
11;Would not go back.;0;Would not go back;would not go back;['would', 'go', 'back'];would go back
12;The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.;0;The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced;the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced;['cashier', 'care', 'ever', 'say', 'still', 'ended', 'wayyy', 'overpriced'];cashier care ever say still ended wayyy overpriced
13;I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!;1;I tried the Cape Cod ravoli chicken with cranberry mmmm;i tried the cape cod ravoli chicken with cranberry mmmm;['tried', 'cape', 'cod', 'ravoli', 'chicken', 'cranberry', 'mmmm'];tried cape cod ravoli chicken cranberry mmmm
14;I was disgusted because I was pretty sure that was human hair.;0;I was disgusted because I was pretty sure that was human hair;i was disgusted because i was pretty sure that was human hair;['disgusted', 'pretty', 'sure', 'human', 'hair'];disgusted pretty sure human hair
15;I was shocked because no signs indicate cash only.;0;I was shocked because no signs indicate cash only;i was shocked because no signs indicate cash only;['shocked', 'signs', 'indicate', 'cash'];shocked signs indicate cash
16;Highly recommended.;1;Highly recommended;highly recommended;['highly', 'recommended'];highly recommended
17;Waitress was a little slow in service.;0;Waitress was a little slow in service;waitress was a little slow in service;['waitress', 'little', 'slow', 'service'];waitress little slow service
18;This place is not worth your time, let alone Vegas.;0;This place is not worth your time let alone Vegas;this place is not worth your time let alone vegas;['place', 'worth', 'time', 'let', 'alone', 'vegas'];place worth time let alone vegas
19;did not like at all.;0;did not like at all;did not like at all;['like'];like
20;The Burrittos Blah!;0;The Burrittos Blah;the burrittos blah;['burrittos', 'blah'];burrittos blah
21;The food, amazing.;1;The food amazing;the food amazing;['food', 'amazing'];food amazing
22;Service is also cute.;1;Service is also cute;service is also cute;['service', 'also', 'cute'];service also cute
23;I could care less... The interior is just beautiful.;1;I could care less The interior is just beautiful;i could care less the interior is just beautiful;['could', 'care', 'less', 'interior', 'beautiful'];could care less interior beautiful
24;So they performed.;1;So they performed;so they performed;['performed'];performed
25;That's right....the red velvet cake.....ohhh this stuff is so good.;1;That s right the red velvet cake ohhh this stuff is so good;that s right the red velvet cake ohhh this stuff is so good;['right', 'red', 'velvet', 'cake', 'ohhh', 'stuff', 'good'];right red velvet cake ohhh stuff good
26;- They never brought a salad we asked for.;0;They never brought a salad we asked for;they never brought a salad we asked for;['never', 'brought', 'salad', 'asked'];never brought salad asked
27;This hole in the wall has great Mexican street tacos, and friendly staff.;1;This hole in the wall has great Mexican street tacos and friendly staff;this hole in the wall has great mexican street tacos and friendly staff;['hole', 'wall', 'great', 'mexican', 'street', 'tacos', 'friendly', 'staff'];hole wall great mexican street tacos friendly staff
28;Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.;0;Took an hour to get our food only tables in restaurant my food was Luke warm Our sever was running around like he was totally overwhelmed;took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed;['took', 'hour', 'get', 'food', 'tables', 'restaurant', 'food', 'luke', 'warm', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed'];took hour get food tables restaurant food luke warm sever running around like totally overwhelmed
29;The worst was the salmon sashimi.;0;The worst was the salmon sashimi;the worst was the salmon sashimi;['worst', 'salmon', 'sashimi'];worst salmon sashimi
30;Also there are combos like a burger, fries, and beer for 23 which is a decent deal.;1;Also there are combos like a burger fries and beer for which is a decent deal;also there are combos like a burger fries and beer for which is a decent deal;['also', 'combos', 'like', 'burger', 'fries', 'beer', 'decent', 'deal'];also combos like burger fries beer decent deal
31;This was like the final blow!;0;This was like the final blow;this was like the final blow;['like', 'final', 'blow'];like final blow
32;I found this place by accident and I could not be happier.;1;I found this place by accident and I could not be happier;i found this place by accident and i could not be happier;['found', 'place', 'accident', 'could', 'happier'];found place accident could happier
33;seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.;0;seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere;seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere;['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere'];seems like good quick place grab bite familiar pub food favor look elsewhere
34;Overall, I like this place a lot.;1;Overall I like this place a lot;overall i like this place a lot;['overall', 'like', 'place', 'lot'];overall like place lot
35;The only redeeming quality of the restaurant was that it was very inexpensive.;1;The only redeeming quality of the restaurant was that it was very inexpensive;the only redeeming quality of the restaurant was that it was very inexpensive;['redeeming', 'quality', 'restaurant', 'inexpensive'];redeeming quality restaurant inexpensive
36;Ample portions and good prices.;1;Ample portions and good prices;ample portions and good prices;['ample', 'portions', 'good', 'prices'];ample portions good prices
37;Poor service, the waiter made me feel like I was stupid every time he came to the table.;0;Poor service the waiter made me feel like I was stupid every time he came to the table;poor service the waiter made me feel like i was stupid every time he came to the table;['poor', 'service', 'waiter', 'made', 'feel', 'like', 'stupid', 'every', 'time', 'came', 'table'];poor service waiter made feel like stupid every time came table
